"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 21 04:24:47 GMT 2025","Wed May 21 04:24:48 GMT 2025","1412","","SeleniumTests","","SeleniumTests","disabledInput","disabledInput()",""
"broken","Wed May 21 04:24:43 GMT 2025","Wed May 21 04:24:44 GMT 2025","1279","","SeleniumActionTests","","SeleniumActionTests","selectFromListTests","selectFromListTests()",""
"broken","Wed May 21 04:24:45 GMT 2025","Wed May 21 04:24:47 GMT 2025","1740","","SeleniumActionTests","","SeleniumActionTests","actionAPIScrollTests","actionAPIScrollTests()",""
"broken","Wed May 21 04:24:46 GMT 2025","Wed May 21 04:24:48 GMT 2025","1771","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openWebFormTest","openWebFormTest()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","1","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [3] Three",""
"broken","Wed May 21 04:24:44 GMT 2025","Wed May 21 04:24:45 GMT 2025","1807","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"broken","Wed May 21 04:24:43 GMT 2025","Wed May 21 04:24:44 GMT 2025","1167","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsChildTest","cssSelectorsChildTest()",""
"passed","Wed May 21 04:24:42 GMT 2025","Wed May 21 04:24:42 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","tagTest","tagTest()",""
"broken","Wed May 21 04:24:46 GMT 2025","Wed May 21 04:24:48 GMT 2025","1593","","SeleniumTests","","SeleniumTests","openForm","openForm()",""
"broken","Wed May 21 04:24:44 GMT 2025","Wed May 21 04:24:46 GMT 2025","1574","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest","cssSelectorsTest()",""
"broken","Wed May 21 04:24:46 GMT 2025","Wed May 21 04:24:48 GMT 2025","1752","","SeleniumTests","","SeleniumTests","openCalc","openCalc()",""
"broken","Wed May 21 04:24:44 GMT 2025","Wed May 21 04:24:46 GMT 2025","1843","","SeleniumActionTests","","SeleniumActionTests","textInputClearTest","textInputClearTest()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","4","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [1] One",""
"broken","Wed May 21 04:24:43 GMT 2025","Wed May 21 04:24:45 GMT 2025","1760","","SeleniumActionTests","","SeleniumActionTests","actionAPIMouseOverTests","actionAPIMouseOverTests()",""
"broken","Wed May 21 04:24:43 GMT 2025","Wed May 21 04:24:44 GMT 2025","1436","","SeleniumDriverTests","","SeleniumDriverTests","iframeTest","iframeTest()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","5","","FractionTest","","FractionTest","negativeFraction","The sum of two fractions with the same denominator",""
"failed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","6","","FractionTest","","FractionTest","longFraction","Overflow of the sum of two fractions",""
"broken","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:43 GMT 2025","2105","","SeleniumActionTests","","SeleniumActionTests","textInputTest","textInputTest()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","2","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [1] 1",""
"broken","Wed May 21 04:24:45 GMT 2025","Wed May 21 04:24:46 GMT 2025","1671","","SeleniumActionTests","","SeleniumActionTests","webFormOpenTest","webFormOpenTest()",""
"broken","Wed May 21 04:24:46 GMT 2025","Wed May 21 04:24:48 GMT 2025","1804","","SeleniumLocatorsTests","","SeleniumLocatorsTests","xpathSelectorsTest","xpathSelectorsTest()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:42 GMT 2025","502","","SimpleJUnitTests","","SimpleJUnitTests","second","second()",""
"skipped","Wed May 21 04:24:42 GMT 2025","Wed May 21 04:24:42 GMT 2025","0","","SimpleJUnitTests","","SimpleJUnitTests","disabledTest","disabledTest()",""
"broken","Wed May 21 04:24:42 GMT 2025","Wed May 21 04:24:44 GMT 2025","1171","","SeleniumJSExecuteTests","","SeleniumJSExecuteTests","infiniteScrollTest","infiniteScrollTest()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","1","","FractionTest","","FractionTest","zeroDenFraction","The sum of two fractions with the same denominator",""
"passed","Wed May 21 04:24:40 GMT 2025","Wed May 21 04:24:40 GMT 2025","37","","AdditionalTests","","AdditionalTests","test","test()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","6","","LifeCycleJUnitTest","","LifeCycleJUnitTest","second","The second",""
"broken","Wed May 21 04:24:42 GMT 2025","Wed May 21 04:24:43 GMT 2025","1110","","SeleniumCookiesTests","","SeleniumCookiesTests","cookieTest","cookieTest()",""
"broken","Wed May 21 04:24:42 GMT 2025","Wed May 21 04:24:43 GMT 2025","1150","","SeleniumBasicTests","","SeleniumBasicTests","openUrlTest","openUrlTest()",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:42 GMT 2025","505","","ParallelJUnitTest","","ParallelJUnitTest","firstTest","firstTest()",""
"broken","Wed May 21 04:24:42 GMT 2025","Wed May 21 04:24:43 GMT 2025","1143","","SeleniumDriverTests","","SeleniumDriverTests","navigateTest","navigateTest()",""
"broken","Wed May 21 04:24:45 GMT 2025","Wed May 21 04:24:47 GMT 2025","1833","","SeleniumTests","","SeleniumTests","openSiteTest","openSiteTest()",""
"broken","Wed May 21 04:24:44 GMT 2025","Wed May 21 04:24:46 GMT 2025","2011","","SeleniumActionTests","","SeleniumActionTests","actionAPIKeyboardTests","actionAPIKeyboardTests()",""
"failed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","30","","ParametrizedTests","","ParametrizedTests","csvTest","csvTest(String, String) [1] John, Doe",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","2","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [3] 3",""
"passed","Wed May 21 04:24:41 GMT 2025","Wed May 21 04:24:41 GMT 2025","502","","ParallelJUnitTest","","ParallelJUnitTest","secondTest","secondTest()",""
"broken","Wed May 21 04:24:44 GMT 2025","Wed May 21 04:24:46 GMT 2025","1443","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openUrlTest","openUrlTest()",""
"broken","Wed May 21 04:24:44 GMT 2025","Wed May 21 04:24:46 GMT 2025","1820","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest2","cssSelectorsTest2()",""
