"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","1","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [1] 1",""
"failed","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:14 GMT 2025","10","","SimpleJUnitTests","","SimpleJUnitTests","AssertAllSeparate","AssertAllSeparate()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:14 GMT 2025","510","","ParallelJUnitTest","","ParallelJUnitTest","firstTest","firstTest()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","2","","LifeCycleJUnitTest","","LifeCycleJUnitTest","first","the first",""
"broken","Wed May 21 04:23:15 GMT 2025","Wed May 21 04:23:26 GMT 2025","10600","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest","cssSelectorsTest()",""
"broken","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:14 GMT 2025","0","","PlaywrightLoginPageTest","","PlaywrightLoginPageTest","","PlaywrightLoginPageTest",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","5","","FractionTest","","FractionTest","negativeFraction","The sum of two fractions with the same denominator",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9827","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openUrlTest","openUrlTest()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","2","","SimpleJUnitTests","","SimpleJUnitTests","assertTrueFalseTest","assertTrueFalseTest()",""
"broken","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:26 GMT 2025","11209","","SeleniumActionTests","","SeleniumActionTests","textInputClearTest","textInputClearTest()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","1","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [2] 2",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9572","","SeleniumDriverTests","","SeleniumDriverTests","dialogBoxesTest","dialogBoxesTest()",""
"broken","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:26 GMT 2025","11967","","SeleniumBasicTests","","SeleniumBasicTests","openWebFormTest","openWebFormTest()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","4","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [3] 3",""
"passed","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:14 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","tagTest","tagTest()",""
"passed","Wed May 21 04:23:12 GMT 2025","Wed May 21 04:23:12 GMT 2025","41","","ExtensionJUnitTest","","ExtensionJUnitTest","JunitTestWithLifecycleExtend","JunitTestWithLifecycleExtend()",""
"passed","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:14 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 3 из 3",""
"broken","Wed May 21 04:23:17 GMT 2025","Wed May 21 04:23:26 GMT 2025","8268","","SeleniumWaitTests","","SeleniumWaitTests","checkSlowCalcSum","checkSlowCalcSum()",""
"broken","Wed May 21 04:23:20 GMT 2025","Wed May 21 04:23:26 GMT 2025","5520","","SeleniumTests","","SeleniumTests","openForm2","openForm2()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","6","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [3] Three",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9166","","SeleniumTests","","SeleniumTests","openSiteTest","openSiteTest()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","2","","FractionTest","","FractionTest","simpleFraction","The sum of two fractions",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","4","","FractionTest","","FractionTest","zeroDenFraction","The sum of two fractions with the same denominator",""
"broken","Wed May 21 04:23:15 GMT 2025","Wed May 21 04:23:26 GMT 2025","10372","","SeleniumDriverTests","","SeleniumDriverTests","navigateTest","navigateTest()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","30","","ExtensionJUnitTest","","ExtensionJUnitTest","JunitTestWithParameterExtend","JunitTestWithParameterExtend(User)",""
"broken","Wed May 21 04:23:15 GMT 2025","Wed May 21 04:23:40 GMT 2025","25674","","SeleniumDriverTests","","SeleniumDriverTests","chromeTest","chromeTest()",""
"broken","Wed May 21 04:23:17 GMT 2025","Wed May 21 04:23:26 GMT 2025","8125","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:16 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","titleTest","Ikki raqamni qo'shish",""
"broken","Wed May 21 04:23:18 GMT 2025","Wed May 21 04:23:26 GMT 2025","7242","","SeleniumActionTests","","SeleniumActionTests","selectFromListTests","selectFromListTests()",""
"broken","Wed May 21 04:23:17 GMT 2025","Wed May 21 04:23:26 GMT 2025","8745","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesFluentWaitTest","loadingImagesFluentWaitTest()",""
"broken","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:16 GMT 2025","2022","","SimpleJUnitTests","","SimpleJUnitTests","timeoutTest","timeoutTest()",""
"broken","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:26 GMT 2025","11529","","SeleniumActionTests","","SeleniumActionTests","actionAPIMouseOverTests","actionAPIMouseOverTests()",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9836","","SeleniumTests","","SeleniumTests","checkTextareaInput","checkTextareaInput()",""
"passed","Wed May 21 04:23:12 GMT 2025","Wed May 21 04:23:12 GMT 2025","37","","AdditionalTests","","AdditionalTests","test","test()",""
"passed","Wed May 21 04:23:12 GMT 2025","Wed May 21 04:23:12 GMT 2025","42","","SimpleJUnitTests","","SimpleJUnitTests","exceptionTest","exceptionTest()",""
"broken","Wed May 21 04:23:17 GMT 2025","Wed May 21 04:23:26 GMT 2025","9084","","SeleniumDriverTests","","SeleniumDriverTests","iframeTest","iframeTest()",""
"broken","Wed May 21 04:23:15 GMT 2025","Wed May 21 04:23:26 GMT 2025","10280","","SeleniumDriverTests","","SeleniumDriverTests","WindowTest","WindowTest()",""
"failed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","16","","FractionTest","","FractionTest","longFraction","Overflow of the sum of two fractions",""
"broken","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:26 GMT 2025","11298","","SeleniumActionTests","","SeleniumActionTests","actionAPIKeyboardTests","actionAPIKeyboardTests()",""
"skipped","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:14 GMT 2025","0","","SimpleJUnitTests","","SimpleJUnitTests","disabledTest","disabledTest()",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","10012","","SeleniumTests","","SeleniumTests","openForm3","openForm3()",""
"broken","Wed May 21 04:23:14 GMT 2025","Wed May 21 04:23:26 GMT 2025","11467","","SeleniumDriverTests","","SeleniumDriverTests","testNewTab","testNewTab()",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9719","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openWebFormTest","openWebFormTest()",""
"broken","Wed May 21 04:23:16 GMT 2025","Wed May 21 04:23:26 GMT 2025","9888","","SeleniumWebStorageTests","","SeleniumWebStorageTests","testWebStorage","testWebStorage()",""
"passed","Wed May 21 04:23:13 GMT 2025","Wed May 21 04:23:13 GMT 2025","514","","SimpleJUnitTests","","SimpleJUnitTests","first","first()",""
"broken","Wed May 21 04:23:15 GMT 2025","Wed May 21 04:23:26 GMT 2025","10743","","SeleniumLocatorsTests","","SeleniumLocatorsTests","baseLocatorsTest","baseLocatorsTest()",""
