"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 21 04:54:54 GMT 2025","Wed May 21 04:54:55 GMT 2025","1622","","SeleniumDriverTests","","SeleniumDriverTests","navigateTest","navigateTest()",""
"passed","Wed May 21 04:54:52 GMT 2025","Wed May 21 04:54:52 GMT 2025","1","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [2] Two",""
"broken","Wed May 21 04:54:53 GMT 2025","Wed May 21 04:55:16 GMT 2025","22768","","SeleniumDriverTests","","SeleniumDriverTests","chromeTest","chromeTest()",""
"broken","Wed May 21 04:54:58 GMT 2025","Wed May 21 04:55:00 GMT 2025","1832","","SeleniumTests","","SeleniumTests","disabledInput","disabledInput()",""
"passed","Wed May 21 04:54:53 GMT 2025","Wed May 21 04:54:53 GMT 2025","6","","SimpleJUnitTests","","SimpleJUnitTests","tagTest","tagTest()",""
"passed","Wed May 21 04:54:52 GMT 2025","Wed May 21 04:54:52 GMT 2025","9","","LifeCycleJUnitTest","","LifeCycleJUnitTest","second","The second",""
"passed","Wed May 21 04:54:55 GMT 2025","Wed May 21 04:54:55 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","titleTest","Ikki raqamni qo'shish",""
"broken","Wed May 21 04:54:55 GMT 2025","Wed May 21 04:54:58 GMT 2025","2382","","SeleniumActionTests","","SeleniumActionTests","actionAPIMouseClickTests","actionAPIMouseClickTests()",""
"broken","Wed May 21 04:54:57 GMT 2025","Wed May 21 04:54:59 GMT 2025","1986","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openWebFormTest","openWebFormTest()",""
"passed","Wed May 21 04:54:53 GMT 2025","Wed May 21 04:54:53 GMT 2025","2","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 1 из 3",""
"broken","Wed May 21 04:54:58 GMT 2025","Wed May 21 04:55:00 GMT 2025","1802","","SeleniumTests","","SeleniumTests","openForm","openForm()",""
"broken","Wed May 21 04:54:56 GMT 2025","Wed May 21 04:54:59 GMT 2025","2410","","SeleniumTests","","SeleniumTests","checkTextareaInput","checkTextareaInput()",""
"passed","Wed May 21 04:54:52 GMT 2025","Wed May 21 04:54:52 GMT 2025","28","","SimpleJUnitTests","","SimpleJUnitTests","exceptionTest","exceptionTest()",""
"broken","Wed May 21 04:54:52 GMT 2025","Wed May 21 04:54:55 GMT 2025","3297","","SeleniumActionTests","","SeleniumActionTests","textInputTest","textInputTest()",""
"broken","Wed May 21 04:54:57 GMT 2025","Wed May 21 04:55:00 GMT 2025","2041","","SeleniumLocatorsTests","","SeleniumLocatorsTests","xpathSelectorsTest","xpathSelectorsTest()",""
