"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 12 16:09:42 GMT 2025","Mon May 12 16:09:43 GMT 2025","1623","","SeleniumTests","","SeleniumTests","openForm","openForm()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","47","","ExtensionJUnitTest","","ExtensionJUnitTest","JunitTestWithLifecycleExtend","JunitTestWithLifecycleExtend()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","31","","ParametrizedTests","","ParametrizedTests","csvTest","csvTest(String, String) [1] John, Doe",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","1977","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest","cssSelectorsTest()",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","504","","SimpleJUnitTests","","SimpleJUnitTests","second","second()",""
"broken","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:39 GMT 2025","2285","","SeleniumActionTests","","SeleniumActionTests","textInputTest","textInputTest()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:37 GMT 2025","502","","SimpleJUnitTests","","SimpleJUnitTests","first","first()",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:41 GMT 2025","1576","","SeleniumActionTests","","SeleniumActionTests","actionAPIMouseClickTests","actionAPIMouseClickTests()",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:40 GMT 2025","1569","","SeleniumActionTests","","SeleniumActionTests","actionAPIScrollTests","actionAPIScrollTests()",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:42 GMT 2025","2153","","SeleniumWebStorageTests","","SeleniumWebStorageTests","testWebStorage","testWebStorage()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","1","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [3] 3",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:40 GMT 2025","1798","","SeleniumTests","","SeleniumTests","openForm3","openForm3()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","1","","FractionTest","","FractionTest","zeroDenFraction","The sum of two fractions with the same denominator",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","4","","ParametrizedTests","","ParametrizedTests","csvTest","csvTest(String, String) [2] Alice, Smith",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","2081","","SeleniumTests","","SeleniumTests","openForm2","openForm2()",""
"passed","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:39 GMT 2025","19","","SimpleJUnitTests","","SimpleJUnitTests","titleTest","Ikki raqamni qo'shish",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","simpleJUnitTest","simpleJUnitTest()",""
"broken","Mon May 12 16:09:41 GMT 2025","Mon May 12 16:09:43 GMT 2025","1815","","SeleniumTests","","SeleniumTests","openCalc","openCalc()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","1","","FractionTest","","FractionTest","negativeFraction","The sum of two fractions with the same denominator",""
"broken","Mon May 12 16:09:38 GMT 2025","Mon May 12 16:09:39 GMT 2025","1296","","SeleniumActionTests","","SeleniumActionTests","webFormOpenTest","webFormOpenTest()",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","7","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 1 из 3",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:41 GMT 2025","1646","","SeleniumActionTests","","SeleniumActionTests","getInfoTests","getInfoTests()",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","1853","","SeleniumDriverTests","","SeleniumDriverTests","testNewWindow","testNewWindow()",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","3","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [1] One",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:42 GMT 2025","2198","","SeleniumActionTests","","SeleniumActionTests","fileUploadTest","fileUploadTest()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","48","","AdditionalTests","","AdditionalTests","test","test()",""
"broken","Mon May 12 16:09:41 GMT 2025","Mon May 12 16:09:42 GMT 2025","1849","","SeleniumTests","","SeleniumTests","openSiteTest","openSiteTest()",""
"broken","Mon May 12 16:09:38 GMT 2025","Mon May 12 16:09:39 GMT 2025","1235","","SeleniumActionTests","","SeleniumActionTests","actionAPIKeyboardTests","actionAPIKeyboardTests()",""
"broken","Mon May 12 16:09:41 GMT 2025","Mon May 12 16:09:43 GMT 2025","1870","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openUrlTest","openUrlTest()",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","assertTrueFalseTest","assertTrueFalseTest()",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","1955","","SeleniumWaitTests","","SeleniumWaitTests","checkSlowCalcSum","checkSlowCalcSum()",""
"broken","Mon May 12 16:09:42 GMT 2025","Mon May 12 16:09:43 GMT 2025","1338","","SeleniumDriverTests","","SeleniumDriverTests","dialogBoxesTest","dialogBoxesTest()",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:40 GMT 2025","1902","","SeleniumActionTests","","SeleniumActionTests","basicTests","basicTests()",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","10","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 3 из 3",""
"broken","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:39 GMT 2025","1335","","SeleniumCookiesTests","","SeleniumCookiesTests","cookieTest","cookieTest()",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","2","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [3] Three",""
"broken","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:39 GMT 2025","2024","","SeleniumBasicTests","","SeleniumBasicTests","openWebFormTest","openWebFormTest()",""
"failed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","10","","SimpleJUnitTests","","SimpleJUnitTests","AssertAllSeparate","AssertAllSeparate()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:37 GMT 2025","502","","ParallelJUnitTest","","ParallelJUnitTest","secondTest","secondTest()",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","1748","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"broken","Mon May 12 16:09:42 GMT 2025","Mon May 12 16:09:43 GMT 2025","1508","","SeleniumLocatorsTests","","SeleniumLocatorsTests","xpathSelectorsTest","xpathSelectorsTest()",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:40 GMT 2025","1422","","SeleniumDriverTests","","SeleniumDriverTests","iframeTest","iframeTest()",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","1917","","SeleniumTests","","SeleniumTests","checkTextareaInput","checkTextareaInput()",""
"broken","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:39 GMT 2025","1108","","SeleniumJSExecuteTests","","SeleniumJSExecuteTests","ColorPickerTest","ColorPickerTest()",""
"broken","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:55 GMT 2025","17227","","SeleniumDriverTests","","SeleniumDriverTests","chromeTest","chromeTest()",""
"passed","Mon May 12 16:09:36 GMT 2025","Mon May 12 16:09:36 GMT 2025","1","","LifeCycleJUnitTest","","LifeCycleJUnitTest","first","the first",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","1753","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest2","cssSelectorsTest2()",""
"broken","Mon May 12 16:09:38 GMT 2025","Mon May 12 16:09:40 GMT 2025","1800","","SeleniumLocatorsTests","","SeleniumLocatorsTests","baseLocatorsTest","baseLocatorsTest()",""
"passed","Mon May 12 16:09:37 GMT 2025","Mon May 12 16:09:37 GMT 2025","3","","SimpleJUnitTests","","SimpleJUnitTests","assertsAllTest","assertsAllTest()",""
"broken","Mon May 12 16:09:40 GMT 2025","Mon May 12 16:09:42 GMT 2025","1908","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesFluentWaitTest","loadingImagesFluentWaitTest()",""
"broken","Mon May 12 16:09:39 GMT 2025","Mon May 12 16:09:41 GMT 2025","1792","","SeleniumActionTests","","SeleniumActionTests","actionAPIDragAndDropTests","actionAPIDragAndDropTests()",""
