"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 11 06:28:41 GMT 2025","Sun May 11 06:28:44 GMT 2025","2829","","SeleniumTests","","SeleniumTests","disabledInput","disabledInput()",""
"broken","Sun May 11 06:28:41 GMT 2025","Sun May 11 06:28:44 GMT 2025","2713","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest2","cssSelectorsTest2()",""
"broken","Sun May 11 06:28:41 GMT 2025","Sun May 11 06:28:44 GMT 2025","2804","","SeleniumTests","","SeleniumTests","openForm2","openForm2()",""
"broken","Sun May 11 06:28:34 GMT 2025","Sun May 11 06:28:41 GMT 2025","7108","","SeleniumActionTests","","SeleniumActionTests","textInputTest","textInputTest()",""
"passed","Sun May 11 06:28:35 GMT 2025","Sun May 11 06:28:35 GMT 2025","3","","SimpleJUnitTests","","SimpleJUnitTests","assertsAllTest","assertsAllTest()",""
"passed","Sun May 11 06:28:34 GMT 2025","Sun May 11 06:28:34 GMT 2025","34","","SimpleJUnitTests","","SimpleJUnitTests","exceptionTest","exceptionTest()",""
"passed","Sun May 11 06:28:34 GMT 2025","Sun May 11 06:28:34 GMT 2025","1","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [3] 3",""
"broken","Sun May 11 06:28:38 GMT 2025","Sun May 11 06:28:41 GMT 2025","2566","","SeleniumActionTests","","SeleniumActionTests","actionAPIKeyboardTests","actionAPIKeyboardTests()",""
"broken","Sun May 11 06:28:35 GMT 2025","Sun May 11 06:28:37 GMT 2025","2010","","SimpleJUnitTests","","SimpleJUnitTests","timeoutTest","timeoutTest()",""
"broken","Sun May 11 06:28:34 GMT 2025","Sun May 11 06:28:41 GMT 2025","6884","","SeleniumBasicTests","","SeleniumBasicTests","openWebFormTest","openWebFormTest()",""
"passed","Sun May 11 06:28:34 GMT 2025","Sun May 11 06:28:34 GMT 2025","1","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [1] One",""
"passed","Sun May 11 06:28:35 GMT 2025","Sun May 11 06:28:35 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 1 из 3",""
"skipped","Sun May 11 06:28:35 GMT 2025","Sun May 11 06:28:35 GMT 2025","0","","SimpleJUnitTests","","SimpleJUnitTests","disabledTest","disabledTest()",""
