"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","10","","LifeCycleJUnitTest","","LifeCycleJUnitTest","first","the first",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1851","","SeleniumLocatorsTests","","SeleniumLocatorsTests","xpathSelectorsTest","xpathSelectorsTest()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","4","","ParametrizedTests","","ParametrizedTests","csvTest","csvTest(String, String) [2] Alice, Smith",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","4","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [3] Three",""
"skipped","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","0","","SimpleJUnitTests","","SimpleJUnitTests","disabledTest","disabledTest()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1676","","SeleniumDriverTests","","SeleniumDriverTests","testNewTab","testNewTab()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","simpleJUnitTest","simpleJUnitTest()",""
"passed","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 3 из 3",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1774","","SeleniumTests","","SeleniumTests","disabledInput","disabledInput()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","503","","SimpleJUnitTests","","SimpleJUnitTests","second","second()",""
"broken","Mon Jul 21 10:26:23 GMT 2025","Mon Jul 21 10:26:25 GMT 2025","2256","","SeleniumTests","","SeleniumTests","openCalc","openCalc()",""
"broken","Mon Jul 21 10:26:23 GMT 2025","Mon Jul 21 10:26:25 GMT 2025","2064","","SeleniumActionTests","","SeleniumActionTests","basicTests","basicTests()",""
"broken","Mon Jul 21 10:26:21 GMT 2025","Mon Jul 21 10:26:23 GMT 2025","1670","","SeleniumShadowDomTests","","SeleniumShadowDomTests","testShadowDom","testShadowDom()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1807","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openUrlTest","openUrlTest()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","505","","ParallelJUnitTest","","ParallelJUnitTest","firstTest","firstTest()",""
"passed","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","14","","SimpleJUnitTests","","SimpleJUnitTests","titleTest","Ikki raqamni qo'shish",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","1898","","SeleniumWebStorageTests","","SeleniumWebStorageTests","testWebStorage","testWebStorage()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1262","","SeleniumDriverTests","","SeleniumDriverTests","WindowTest","WindowTest()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","3","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [1] One",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","503","","SimpleJUnitTests","","SimpleJUnitTests","first","first()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","3","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [3] 3",""
"passed","Mon Jul 21 10:26:18 GMT 2025","Mon Jul 21 10:26:18 GMT 2025","39","","AdditionalTests","","AdditionalTests","test","test()",""
"broken","Mon Jul 21 10:26:21 GMT 2025","Mon Jul 21 10:26:23 GMT 2025","1746","","SeleniumActionTests","","SeleniumActionTests","actionAPIKeyboardTests","actionAPIKeyboardTests()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1639","","SeleniumJSExecuteTests","","SeleniumJSExecuteTests","ColorPickerTest","ColorPickerTest()",""
"passed","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","4","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 1 из 3",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2006","","SeleniumTests","","SeleniumTests","openForm2","openForm2()",""
"broken","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","2957","","SeleniumActionTests","","SeleniumActionTests","textInputTest","textInputTest()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:37 GMT 2025","16343","","SeleniumDriverTests","","SeleniumDriverTests","chromeTest","chromeTest()",""
