"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 21 10:26:18 GMT 2025","Mon Jul 21 10:26:18 GMT 2025","50","","FractionTest","","FractionTest","zeroNumFraction","The sum of two fractions with the same denominator",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","2","","SimpleJUnitTests","","SimpleJUnitTests","assertTrueFalseTest","assertTrueFalseTest()",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2359","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesFluentWaitTest","loadingImagesFluentWaitTest()",""
"broken","Mon Jul 21 10:26:25 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1385","","SeleniumActionTests","","SeleniumActionTests","fileUploadTest","fileUploadTest()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1396","","SeleniumDriverTests","","SeleniumDriverTests","navigateTest","navigateTest()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1480","","SeleniumActionTests","","SeleniumActionTests","actionAPIMouseOverTests","actionAPIMouseOverTests()",""
"passed","Mon Jul 21 10:26:18 GMT 2025","Mon Jul 21 10:26:18 GMT 2025","38","","ExtensionJUnitTest","","ExtensionJUnitTest","JunitTestWithLifecycleExtend","JunitTestWithLifecycleExtend()",""
"broken","Mon Jul 21 10:26:25 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1463","","SeleniumTests","","SeleniumTests","checkCalcSum","checkCalcSum()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1919","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesImplicitWaitTest","loadingImagesImplicitWaitTest()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","2","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [2] 2",""
"failed","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","9","","SimpleJUnitTests","","SimpleJUnitTests","AssertAllSeparate","AssertAllSeparate()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","8","","ExtensionJUnitTest","","ExtensionJUnitTest","JunitTestWithParameterExtend","JunitTestWithParameterExtend(User)",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","1","","LifeCycleJUnitTest","","LifeCycleJUnitTest","second","The second",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2263","","SeleniumActionTests","","SeleniumActionTests","selectFromListTests","selectFromListTests()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1533","","SeleniumBasicTests","","SeleniumBasicTests","openUrlTest","openUrlTest()",""
"passed","Mon Jul 21 10:26:18 GMT 2025","Mon Jul 21 10:26:18 GMT 2025","38","","SimpleJUnitTests","","SimpleJUnitTests","exceptionTest","exceptionTest()",""
"failed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","4","","FractionTest","","FractionTest","longFraction","Overflow of the sum of two fractions",""
"passed","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","2","","SimpleJUnitTests","","SimpleJUnitTests","repeatedTest","Ikki raqamni qo'shish Ikki raqamni qo'shish - takrorlash 2 из 3",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1361","","SeleniumLocatorsTests","","SeleniumLocatorsTests","baseLocatorsTest","baseLocatorsTest()",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2250","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsChildTest","cssSelectorsChildTest()",""
"passed","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","tagTest","tagTest()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1819","","SeleniumActionTests","","SeleniumActionTests","actionAPIDragAndDropTests","actionAPIDragAndDropTests()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","505","","ParallelJUnitTest","","ParallelJUnitTest","secondTest","secondTest()",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2206","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest2","cssSelectorsTest2()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1416","","SeleniumJSExecuteTests","","SeleniumJSExecuteTests","infiniteScrollTest","infiniteScrollTest()",""
"broken","Mon Jul 21 10:26:21 GMT 2025","Mon Jul 21 10:26:23 GMT 2025","1527","","SeleniumTests","","SeleniumTests","checkTextareaInput","checkTextareaInput()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1701","","SeleniumActionTests","","SeleniumActionTests","getInfoTests","getInfoTests()",""
"broken","Mon Jul 21 10:26:23 GMT 2025","Mon Jul 21 10:26:25 GMT 2025","2281","","SeleniumActionTests","","SeleniumActionTests","webFormOpenTest","webFormOpenTest()",""
"broken","Mon Jul 21 10:26:23 GMT 2025","Mon Jul 21 10:26:25 GMT 2025","1862","","SeleniumActionTests","","SeleniumActionTests","actionAPIScrollTests","actionAPIScrollTests()",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2251","","SeleniumTests","","SeleniumTests","openSiteTest","openSiteTest()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:25 GMT 2025","1679","","SeleniumTests","","SeleniumTests","openForm","openForm()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","4","","FractionTest","","FractionTest","negativeFraction","The sum of two fractions with the same denominator",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2035","","SeleniumWaitTests","","SeleniumWaitTests","checkSlowCalcSum","checkSlowCalcSum()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1674","","SeleniumCookiesTests","","SeleniumCookiesTests","cookieTest","cookieTest()",""
"passed","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","assertsAllTest","assertsAllTest()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:20 GMT 2025","0","","PlaywrightLoginPageTest","","PlaywrightLoginPageTest","","PlaywrightLoginPageTest",""
"broken","Mon Jul 21 10:26:21 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","1577","","SeleniumTests","","SeleniumTests","openForm3","openForm3()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","8","","ParametrizedTests","","ParametrizedTests","customParametersTest","customParametersTest(String) [2] Two",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","1746","","SeleniumActionTests","","SeleniumActionTests","textInputClearTest","textInputClearTest()",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","2196","","SeleniumBasicTests","","SeleniumBasicTests","openWebFormTest","openWebFormTest()",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2270","","SeleniumDriverTests","","SeleniumDriverTests","dialogBoxesTest","dialogBoxesTest()",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2137","","SeleniumDriverTests","","SeleniumDriverTests","iframeTest","iframeTest()",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2210","","SeleniumDriverTests","","SeleniumDriverTests","testNewWindow","testNewWindow()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1858","","SeleniumLocatorsTests","","SeleniumLocatorsTests","cssSelectorsTest","cssSelectorsTest()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:26 GMT 2025","1760","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openWebFormTest","openWebFormTest()",""
"broken","Mon Jul 21 10:26:24 GMT 2025","Mon Jul 21 10:26:25 GMT 2025","1821","","SeleniumActionTests","","SeleniumActionTests","actionAPIMouseClickTests","actionAPIMouseClickTests()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","5","","FractionTest","","FractionTest","zeroDenFraction","The sum of two fractions with the same denominator",""
"broken","Mon Jul 21 10:26:22 GMT 2025","Mon Jul 21 10:26:24 GMT 2025","2071","","SeleniumWaitTests","","SeleniumWaitTests","loadingImagesExplicitWaitTest","loadingImagesExplicitWaitTest()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","26","","ParametrizedTests","","ParametrizedTests","csvTest","csvTest(String, String) [1] John, Doe",""
"broken","Mon Jul 21 10:26:20 GMT 2025","Mon Jul 21 10:26:22 GMT 2025","2026","","SimpleJUnitTests","","SimpleJUnitTests","timeoutTest","timeoutTest()",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","2","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [1] 1",""
"passed","Mon Jul 21 10:26:19 GMT 2025","Mon Jul 21 10:26:19 GMT 2025","10","","FractionTest","","FractionTest","simpleFraction","The sum of two fractions",""
