"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 11 06:28:45 GMT 2025","Sun May 11 06:28:45 GMT 2025","37","","ExtensionJUnitTest","","ExtensionJUnitTest","JunitTestWithLifecycleExtend","JunitTestWithLifecycleExtend()",""
"passed","Sun May 11 06:28:47 GMT 2025","Sun May 11 06:28:47 GMT 2025","0","","SimpleJUnitTests","","SimpleJUnitTests","titleTest","Ikki raqamni qo'shish",""
"broken","Sun May 11 06:28:49 GMT 2025","Sun May 11 06:28:51 GMT 2025","2128","","SeleniumWaitTests","","SeleniumWaitTests","checkSlowCalcSum","checkSlowCalcSum()",""
"passed","Sun May 11 06:28:45 GMT 2025","Sun May 11 06:28:45 GMT 2025","1","","FractionTest","","FractionTest","simpleFraction","The sum of two fractions",""
"passed","Sun May 11 06:28:46 GMT 2025","Sun May 11 06:28:46 GMT 2025","4","","ParametrizedTests","","ParametrizedTests","sourceTest","sourceTest(int) [3] 3",""
"broken","Sun May 11 06:28:50 GMT 2025","Sun May 11 06:28:52 GMT 2025","1895","","SeleniumLocatorsTests","","SeleniumLocatorsTests","openWebFormTest","openWebFormTest()",""
"passed","Sun May 11 06:28:45 GMT 2025","Sun May 11 06:28:45 GMT 2025","39","","SimpleJUnitTests","","SimpleJUnitTests","exceptionTest","exceptionTest()",""
"passed","Sun May 11 06:28:46 GMT 2025","Sun May 11 06:28:46 GMT 2025","2","","SimpleJUnitTests","","SimpleJUnitTests","assertTrueFalseTest","assertTrueFalseTest()",""
"failed","Sun May 11 06:28:45 GMT 2025","Sun May 11 06:28:45 GMT 2025","52","","FractionTest","","FractionTest","zeroNumFraction","The sum of two fractions with the same denominator",""
"passed","Sun May 11 06:28:45 GMT 2025","Sun May 11 06:28:46 GMT 2025","505","","ParallelJUnitTest","","ParallelJUnitTest","secondTest","secondTest()",""
"broken","Sun May 11 06:28:47 GMT 2025","Sun May 11 06:29:07 GMT 2025","20205","","SeleniumDriverTests","","SeleniumDriverTests","chromeTest","chromeTest()",""
"passed","Sun May 11 06:28:45 GMT 2025","Sun May 11 06:28:45 GMT 2025","1","","FractionTest","","FractionTest","negativeFraction","The sum of two fractions with the same denominator",""
"broken","Sun May 11 06:28:51 GMT 2025","Sun May 11 06:28:52 GMT 2025","1660","","SeleniumActionTests","","SeleniumActionTests","textInputClearTest","textInputClearTest()",""
"passed","Sun May 11 06:28:46 GMT 2025","Sun May 11 06:28:46 GMT 2025","1","","SimpleJUnitTests","","SimpleJUnitTests","simpleJUnitTest","simpleJUnitTest()",""
